id,brand,name,country,price,size,slug
59093dda-c230-47dc-973c-9835c0f6a264,601 Blue,601 Blue Label Maduro Torpedo,Nicaragua,9.4,Figurado,601-blue-label-maduro-torpedo
67c976af-1bb7-4f0e-862b-a95cb165678b,601 Blue,601 Blue Label Maduro Torpedo,Nicaragua,8.95,Figurado,601-blue-label-maduro-torpedo-1
03aadd87-7d75-423b-abc5-5e2ee5d7a48b,601 Blue,601 Blue Label Maduro Robusto,Nicaragua,8.0,Robusto,601-blue-label-maduro-robusto
a9ffa349-418d-47e7-b8c2-14bc521c9da3,601 Blue,601 Blue Label Maduro Torpedo,Nicaragua,8.95,Figurado,601-blue-label-maduro-torpedo-2
530b3250-211c-4307-b117-fec5f98c198d,601 Box,601 Box Press Maduro Toro,Nicaragua,8.95,Toro,601-box-press-maduro-toro
509ffe1c-a274-4cfe-a342-6ceb3ec765ef,601 Box,601 Box Press Maduro Toro,Nicaragua,9.3,Toro,601-box-press-maduro-toro-1
661ec1e5-efd6-406e-ad9c-6288b9ebe2ab,601 Box,601 Box Press Maduro Toro,Nicaragua,9.3,Toro,601-box-press-maduro-toro-2
ce206e31-665d-4491-9eab-591657755c86,601 Box,601 Box Press Maduro Prominente,Nicaragua,9.5,Toro,601-box-press-maduro-prominente
508f3e76-239e-4f8f-bfc5-a925b6b0859d,601 Box,601 Box Press Maduro Robusto,Nicaragua,9.15,Robusto,601-box-press-maduro-robusto
d58ab4d4-95e2-46b6-a083-22110440fb0f,601 Box,601 Box Press Maduro Toro,Nicaragua,10.45,Toro,601-box-press-maduro-toro-3
db6576d3-9a62-4e8c-993b-5d35d1a25eca,601 Box,601 Box Press Maduro Torpedo,Nicaragua,9.78,Figurado,601-box-press-maduro-torpedo
b19b4670-a58f-454f-bdda-377e9cd911d0,601 Churchill,601 Churchill,Nicaragua,7.7,Churchill,601-churchill
6508967a-4691-4505-b29d-39410e736158,601 Churchill,601 Churchill,Nicaragua,7.7,Churchill,601-churchill-1
6c3470fe-a834-4d64-aa97-325620716fdc,601 Connecticut,601 Connecticut White Label Churchill,Nicaragua,7.85,Churchill,601-connecticut-white-label-churchill
a260b300-711e-4130-9bd6-cc0cb18d94f8,601 Green,601 Green Label Oscuro Corona,Nicaragua,8.35,Petit Corona,601-green-label-oscuro-corona
3e93d2c0-2380-40c9-ade3-a56e3c5b43d7,601 Green,601 Green Label Oscuro Corona,Nicaragua,7.1,Petit Corona,601-green-label-oscuro-corona-1
ae2aae86-43ec-4eee-a238-cd80afd80278,601 Green,601 Green Label Oscuro Robusto Tronco,Nicaragua,8.25,Robusto,601-green-label-oscuro-robusto-tronco
89f823f0-a757-440f-98e7-2bffa4c47c1c,601 Green,601 Green Label Oscuro Corona,Nicaragua,6.75,Petit Corona,601-green-label-oscuro-corona-2
f6cb64ef-34a9-4d65-a8f4-f0b26ddff992,601 Habano,601 Habano Oscuro La Fuerza,Nicaragua,8.95,Toro,601-habano-oscuro-la-fuerza
57a54c39-a5b4-4186-8f3f-3d4bbb496232,601 Habano,601 Habano Oscuro La Punta,Nicaragua,8.95,Figurado,601-habano-oscuro-la-punta
36302b10-c18f-4e11-81d3-72e2d02e8b82,601 Habano,601 Habano Oscuro Tronco,Nicaragua,9.5,Robusto,601-habano-oscuro-tronco
1674caea-9e04-4e44-a101-5bd58691dadf,601 Habano,601 Habano Torpedo,Nicaragua,8.8,Figurado,601-habano-torpedo
b28aa0d9-828c-4e14-934e-927d99d8bf4e,601 Habano,601 Habano Oscuro Corona,Nicaragua,5.5,Corona,601-habano-oscuro-corona
fb606f33-7c42-41e8-945c-3ddafa11194a,601 Habano,601 Habano Oscuro La Fuerza,Nicaragua,8.6,Toro,601-habano-oscuro-la-fuerza-1
91f5ce50-dacc-402f-a69a-7c681cde65d2,601 Habano,601 Habano Oscuro La Punta,Nicaragua,8.75,Figurado,601-habano-oscuro-la-punta-1
11b55dcd-114c-4cd5-8946-8bfc8def30ee,601 Habano,601 Habano Oscuro Trabuco,Nicaragua,9.75,Toro,601-habano-oscuro-trabuco
0e5293d0-97b3-429b-9368-192d38048cfd,601 Habano,601 Habano Churchill,Nicaragua,7.7,Churchill,601-habano-churchill
a6dd6b18-c739-4b9c-9be1-ca4124c1c761,601 Habano,601 Habano Robusto,Nicaragua,6.5,Robusto,601-habano-robusto
d1e96a5b-83a0-4089-a881-76d4a94962d0,601 La,601 La Bomba Warhead X,Nicaragua,16.0,Toro,601-la-bomba-warhead-x
54ecc067-2999-403c-92ac-eee445fc3427,601 La,601 La Bomba Warhead VII,Nicaragua,10.5,Churchill,601-la-bomba-warhead-vii
b89f71a8-6429-42ee-a7a9-5773aa4fe201,601 La,601 La Bomba Warhead VI,Nicaragua,10.0,Figurado,601-la-bomba-warhead-vi
7e61d392-86fa-4bc5-bbd4-119ca26ea20d,601 La,601 La Bomba Warhead IV,Nicaragua,10.99,Toro,601-la-bomba-warhead-iv
9cccd05a-049e-47bf-b088-afc4e1a9e363,601 La,601 La Bomba Warhead IV,Nicaragua,10.99,Toro,601-la-bomba-warhead-iv-1
94c5b077-d61a-4bfd-a145-7d48eddb42d6,601 La,601 La Bomba Warhead III,Nicaragua,10.95,Panetela,601-la-bomba-warhead-iii
ba02649d-cef8-49c1-89ae-9c55a1802871,601 La,601 La Bomba Warhead II Prominente,Nicaragua,10.95,Toro,601-la-bomba-warhead-ii-prominente
031a8e71-2685-416f-ad7b-4531055c5b26,601 La,601 La Bomba Sake Bomb,Nicaragua,6.75,Petit Corona,601-la-bomba-sake-bomb
8b4cc13e-0e93-455d-980f-8716781fa493,601 La,601 La Bomba Warhead II Prominente,Nicaragua,10.95,Toro,601-la-bomba-warhead-ii-prominente-1
0c46b85f-39b1-4a7c-bb58-4e496752d9fb,601 La,601 La Bomba Nuclear,Nicaragua,8.6,Toro,601-la-bomba-nuclear
ddc27f2d-4948-491c-849e-e25d0e04b401,601 La,601 La Bomba Atom,Nicaragua,7.95,Toro,601-la-bomba-atom
5ce9c4db-6eb8-4fab-9999-8426fb3e5427,601 La,601 La Bomba Nuclear,Nicaragua,8.6,Toro,601-la-bomba-nuclear-1
1b6bdc00-24d9-4194-8d16-01a556d01062,601 La,601 La Bomba Napalm,Nicaragua,8.45,Robusto,601-la-bomba-napalm
774a1d0b-f049-44c1-86c7-b09127f39989,601 La,601 La Bomba Atomic,Nicaragua,8.75,Toro,601-la-bomba-atomic
95d1aaaf-0fae-41d5-8834-33a00f6e2c88,601 Rabito,601 Rabito,Nicaragua,7.4,Toro,601-rabito
7f48d407-1181-40ca-94eb-23e03c92af08,601 Red,601 Red Label Habano Churchill,Nicaragua,8.15,Churchill,601-red-label-habano-churchill
d2c190b7-5d65-498f-bf09-545c8ed531d7,601 Red,601 Red Label Habano Robusto,Nicaragua,7.5,Robusto,601-red-label-habano-robusto
4389cf30-fba5-4582-bc80-0b962792c590,601 Red,601 Red Label Habano Torpedo,Nicaragua,7.95,Figurado,601-red-label-habano-torpedo
911597c1-b8af-4a5a-a44d-999be47e234e,601 Red,601 Red Label Habano Torpedo,Nicaragua,7.95,Figurado,601-red-label-habano-torpedo-1
b03e3beb-3c0c-4c23-ac82-fbdf7de2cb84,601 Red,601 Red Label Habano Robusto,Nicaragua,7.5,Robusto,601-red-label-habano-robusto-1
668d0cec-b57e-4ccf-a7f7-5e9b4877ab3b,601 Red,601 Red Label Habano Robusto,Nicaragua,7.5,Robusto,601-red-label-habano-robusto-2
1f3f59ec-66a4-4302-99bc-cfead24d736b,601 Robusto,601 Robusto,Nicaragua,7.5,Robusto,601-robusto
7b04ae85-ef77-4539-a8ae-2fe3dafad201,601 Robusto,601 Robusto,Nicaragua,6.5,Robusto,601-robusto-1
38678f80-dedd-43d9-b1d2-9c445e37ffdb,601 Robusto,601 Robusto,Nicaragua,6.5,Robusto,601-robusto-2
